Replicate,PROP_ID,TOT_DRY_WT,TOT_FRESH_WT,DAYS,WEEKS,AGR,SITE,TREATMENT
4,LA-18,1.980,11.826,192,27.4,0.0103125,VB,A
1,LA-25,0.507,6.082,183,26.1,0.002770491803,MB,A
3,LA-34,2.680,13.927,190,27.1,0.01410526316,MB,A
3,LA-35,0.743,8.407,192,27.4,0.003869791667,MB,A
4,LA-40,3.083,14.534,182,26.0,0.01693956044,MB,A
1,LA-43,1.499,7.634,190,27.1,0.007889473684,PR,A
2,LA-46,2.504,17.559,186,26.6,0.01346236559,PR,A
2,LA-49,1.260,11.865,183,26.1,0.006885245902,PR,A
2,LA-50,-0.248,4.921,182,26.0,-0.001362637363,PR,A
3,LA-53,0.366,5.355,188,26.9,0.001946808511,PR,A
2,RA-10,28.234,102.183,190,27.1,0.1486,OC,A
3,RA-12,16.074,62.944,186,26.6,0.08641935484,OC,A
4,RA-17,23.560,76.382,190,27.1,0.124,OC,A
4,RA-20,22.617,81.629,180,25.7,0.12565,OC,A
1,RA-22,20.267,76.764,178,25.4,0.1138595506,CP,A
1,RA-25,16.467,57.740,184,26.3,0.08949456522,CP,A
2,RA-28,17.804,61.842,190,27.1,0.09370526316,CP,A
4,RA-40,15.085,52.355,188,26.9,0.0802393617,CP,A
3,RA-54,22.554,83.077,181,25.9,0.1246077348,PR,A
3,RA-55,18.558,63.797,183,26.1,0.1014098361,PR,A
4,LB-17,-0.298,1.891,186,26.6,-0.001602150538,VB,B
2,LB-29,-0.765,1.354,178,25.4,-0.004297752809,MB,B
1,LB-45,-0.972,1.126,192,27.4,-0.0050625,PR,B
2,LB-47,-0.618,0.597,190,27.1,-0.003252631579,PR,B
2,LB-49,-1.259,0.501,190,27.1,-0.006626315789,PR,B
3,LB-51,-0.981,0.591,182,26.0,-0.00539010989,PR,B
3,LB-54,-0.390,0.965,183,26.1,-0.002131147541,PR,B
3,LB-55,-1.131,0.879,183,26.1,-0.006180327869,PR,B
4,LB-57,-0.920,0.276,190,27.1,-0.004842105263,PR,B
4,LB-58,-1.277,0.603,186,26.6,-0.006865591398,PR,B
2,RB-10,18.409,58.642,181,25.9,0.1017071823,OC,B
3,RB-13,16.788,55.654,192,27.4,0.0874375,OC,B
4,RB-16,13.236,48.015,180,25.7,0.07353333333,OC,B
4,RB-20,18.241,63.230,185,26.4,0.0986,OC,B
