Date Uploaded,Uploaded By,Date Processed,Processed By,Tank,Replicate,Location,Treatment,Species,Dissolved Oxygen (mg/L),Oxygen Status,Notes
4/11/2025,SH,4/1/2025,SH,1,3,Pore,B,RHMA,3.6,Oxic,
4/11/2025,SH,4/1/2025,SH,1,3,Pore,B,LARA,3.9,Oxic,
4/11/2025,SH,4/1/2025,SH,1,3,Tank,B,Tank,8.2,Oxic,
4/11/2025,SH,4/1/2025,SH,2,3,Pore,A,LARA,3.1,Oxic,
4/11/2025,SH,4/1/2025,SH,2,3,Pore,A,RHMA,3.4,Oxic,
4/11/2025,SH,4/1/2025,SH,2,3,Tank,A,Tank,7.8,Oxic,
4/11/2025,SH,4/1/2025,SH,3,4,Pore,A,LARA,3.5,Oxic,
4/11/2025,SH,4/1/2025,SH,3,4,Pore,A,RHMA,3.1,Oxic,
4/11/2025,SH,4/1/2025,SH,3,4,Tank,A,Tank,7.8,Oxic,
4/11/2025,SH,4/1/2025,SH,4,1,Pore,A,LARA,2.7,Oxic,
4/11/2025,SH,4/1/2025,SH,4,1,Pore,A,RHMA,2.5,Oxic,
4/11/2025,SH,4/1/2025,SH,4,1,Tank,A,Tank,8.3,Oxic,algae
4/11/2025,SH,4/1/2025,SH,5,4,Pore,C,LARA,2.6,Oxic,
4/11/2025,SH,4/1/2025,SH,5,4,Pore,C,RHMA,3,Oxic,
4/11/2025,SH,4/1/2025,SH,5,4,Tank,C,Tank,7.8,Oxic,algae
4/11/2025,SH,4/1/2025,SH,6,3,Pore,C,LARA,2.7,Oxic,
4/11/2025,SH,4/1/2025,SH,6,3,Pore,C,RHMA,3,Oxic,
4/11/2025,SH,4/1/2025,SH,6,3,Tank,C,Tank,7.3,Oxic,
4/11/2025,SH,4/1/2025,SH,7,2,Pore,D,LARA,3.5,Oxic,
4/11/2025,SH,4/1/2025,SH,7,2,Pore,D,RHMA,2.6,Oxic,
4/11/2025,SH,4/1/2025,SH,7,2,Tank,D,Tank,8.1,Oxic,
4/11/2025,SH,4/1/2025,SH,8,1,Pore,E,LARA,0.3,Anoxic,
4/11/2025,SH,4/1/2025,SH,8,1,Pore,E,RHMA,2.3,Oxic,
4/11/2025,SH,4/1/2025,SH,8,1,Tank,E,Tank,7.8,Oxic,
4/11/2025,SH,4/1/2025,SH,9,2,Pore,C,LARA,1.8,Hypoxic,
4/11/2025,SH,4/1/2025,SH,9,2,Pore,C,RHMA,2.8,Oxic,
4/11/2025,SH,4/1/2025,SH,9,2,Tank,C,Tank,7.4,Oxic,
4/11/2025,SH,4/1/2025,SH,10,3,Pore,E,LARA,3.8,Oxic,
4/11/2025,SH,4/1/2025,SH,10,3,Pore,E,RHMA,2.7,Oxic,
4/11/2025,SH,4/1/2025,SH,10,3,Tank,E,Tank,7.6,Oxic,
4/11/2025,SH,4/1/2025,"SH, TB, SA",11,4,Pore,D,LARA,2,Oxic,
4/11/2025,SH,4/1/2025,"SH, TB, SA",11,4,Pore,D,RHMA,2.4,Oxic,
4/11/2025,SH,4/1/2025,"SH, TB, SA",11,4,Tank,D,Tank,7.8,Oxic,
4/11/2025,SH,4/1/2025,"SH, TB, SA",12,4,Pore,E,LARA,1.7,Hypoxic,
4/11/2025,SH,4/1/2025,"SH, TB, SA",12,4,Pore,E,RHMA,3.4,Oxic,
4/11/2025,SH,4/1/2025,"SH, TB, SA",12,4,Tank,E,Tank,7.3,Oxic,
4/11/2025,SH,4/1/2025,"SH, TB, SA",13,1,Pore,D,RHMA,2.6,Oxic,
4/11/2025,SH,4/1/2025,"SH, TB, SA",13,1,Pore,D,LARA,3.5,Oxic,
4/11/2025,SH,4/1/2025,"SH, TB, SA",13,1,Tank,D,Tank,6.6,Oxic,
4/11/2025,SH,4/1/2025,"SH, TB, SA",14,3,Pore,D,RHMA,3.8,Oxic,
4/11/2025,SH,4/1/2025,"SH, TB, SA",14,3,Pore,D,LARA,2.8,Oxic,
4/11/2025,SH,4/1/2025,"SH, TB, SA",14,3,Tank,D,Tank,7.2,Oxic,
4/11/2025,SH,4/1/2025,"SH, TB, SA",15,1,Pore,C,LARA,3.7,Oxic,
4/11/2025,SH,4/1/2025,"SH, TB, SA",15,1,Pore,C,RHMA,3.4,Oxic,
4/11/2025,SH,4/1/2025,"SH, TB, SA",15,1,Tank,C,Tank,6.1,Oxic,
4/11/2025,SH,4/1/2025,"SH, TB, SA",16,2,Pore,E,LARA,1.9,Hypoxic,
4/11/2025,SH,4/1/2025,"SH, TB, SA",16,2,Pore,E,RHMA,3.2,Oxic,
4/11/2025,SH,4/1/2025,"SH, TB, SA",16,2,Tank,E,Tank,7,Oxic,
4/11/2025,SH,4/1/2025,"SH, TB, SA",17,1,Pore,B,RHMA,3.8,Oxic,
4/11/2025,SH,4/1/2025,"SH, TB, SA",17,1,Pore,B,LARA,3.9,Oxic,
4/11/2025,SH,4/1/2025,"SH, TB, SA",17,1,Tank,B,Tank,6.7,Oxic,
4/11/2025,SH,4/1/2025,"SH, TB, SA",18,2,Pore,B,RHMA,3,Oxic,
