Data_Uploaded,Date_Uploaded,Monitored_By,Date_Monitored,Location,Replicate,Site,Species,Treatment,Prop_ID,Time_Period,Survivorship,Condition,Pests,Leaf_Color,RHMA_Height_1,RHMA_Height_2,RHMA_Epi_Length,LARA_Height_1,LARA_Height_2,Number_Branches,Leaves_Main,Leaves_Branches,Total_Leaves,Nodes_Main,Nodes_Branches,Total_Nodes,Notes,...29
SH,12/08/2024,"ZG, SH",12/02/2024,1,3,OC,RHMA,E,RE-14,1,A,H,NA,NA,24.8,15.4,1.4,NA,NA,0,0,0,0,1,0,1,NA,NA
SH,12/08/2024,"ZG, SH",12/02/2024,1,3,PR,RHMA,E,RE-54,1,A,H,NA,G,21.2,12,4.5,NA,NA,0,2,0,2,2,0,2,LCP,NA
SH,12/08/2024,"ZG, SH",12/02/2024,1,3,CP,RHMA,E,RE-34,1,A,H,NA,NA,19.5,10,3.1,NA,NA,0,0,0,0,1,0,1,LCP,NA
SH,12/08/2024,"ZG, SH",12/02/2024,1,3,PR,RHMA,E,RE-53,1,A,H,NA,G,15.9,6.2,4.4,NA,NA,0,2,0,2,1,0,1,LCP,NA
SH,12/08/2024,"ZG, SH",12/02/2024,1,3,OC,RHMA,E,RE-15,1,A,H,NA,G,21.9,11.5,4.7,NA,NA,0,2,0,2,2,0,2,LCP,NA
SH,12/08/2024,"ZG, SH",12/02/2024,1,3,CP,RHMA,E,RE-31,1,A,H,NA,G,20.3,9,2.6,NA,NA,0,0,0,0,1,0,1,LCP,NA
SH,12/08/2024,"ZG, SH",12/02/2024,1,3,CP,RHMA,E,RE-32,1,A,W,NA,NA,20.5,11.4,1.4,NA,NA,0,0,0,0,1,0,1,epicotyl is brown,NA
SH,12/08/2024,"ZG, SH",12/02/2024,1,3,CP,RHMA,E,RE-33,1,A,D,NA,G,13.8,5.9,4.3,NA,NA,0,2,0,2,2,0,2,LCP,NA
SH,12/08/2024,"ZG, SH",12/02/2024,1,3,OC,RHMA,E,RE-13,1,A,H,NA,G,25.2,15.5,3.3,NA,NA,0,2,0,2,2,0,2,NA,NA
SH,12/08/2024,"ZG, SH",12/02/2024,1,3,OC,RHMA,E,RE-12,1,A,H,NA,G,25.4,14.2,3.6,NA,NA,0,2,0,2,2,0,2,NA,NA
SH,12/08/2024,"ZG, SH",12/02/2024,1,3,PR,RHMA,E,RE-55,1,A,H,NA,G,26.2,17,4,NA,NA,0,2,0,2,2,0,2,hypocotyl is whitish,NA
SH,12/08/2024,"ZG, SH",12/02/2024,1,3,OC,RHMA,E,RE-11,1,A,D,NA,NA,25.2,15.8,1.8,NA,NA,0,0,0,0,1,0,1,brown spot on hypocotyl,NA
SH,12/08/2024,"ZG, SH",12/02/2024,1,3,PR,RHMA,E,RE-52,1,A,H,NA,G,15.7,5.5,3.4,NA,NA,0,2,0,2,2,0,2,NA,NA
SH,12/08/2024,"ZG, SH",12/02/2024,1,3,CP,RHMA,E,RE-35,1,A,D,NA,G,17.6,6.9,3.7,NA,NA,0,2,0,2,2,0,2,brown spot on hypocotyl,NA
SH,12/08/2024,"ZG, SH",12/02/2024,1,3,PR,RHMA,E,RE-51,1,A,H,NA,G,18.5,9,3.8,NA,NA,0,2,0,2,2,0,2,NA,NA
SH,12/08/2024,"ZG, SH",12/02/2024,1,3,MB,LARA,E,LE-33,1,A,H,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,not sprouted,NA
SH,12/08/2024,"ZG, SH",12/02/2024,1,3,MB,LARA,E,LE-31,1,A,H,NA,NA,NA,NA,NA,1.3,0,0,0,0,0,0,0,0,shell still on,NA
SH,12/08/2024,"ZG, SH",12/02/2024,1,3,VB,LARA,E,LE-15,1,A,H,NA,G,NA,NA,NA,3.5,0,0,0,0,0,1,0,1,leaves curled,NA
