Replicate,PROP_ID,INITIAL_WT,TOT_DRY_WT,TOT_FRESH_WT,DAYS,Weeks,lnwet,lninital,lnwet-lninitial,/weeks,RGR,SITE,TREATMENT
4,LA-18,0.92,1.980,11.826,192,27.4,2.470300497,-0.08338160894,2.553682106,0.09310299346,0.09,VB,A
1,LA-25,0.47,0.507,6.082,183,26.1,1.805333589,-0.7550225843,2.560356174,0.09793712139,0.10,MB,A
3,LA-34,0.59,2.680,13.927,190,27.1,2.633829402,-0.5276327421,3.161462144,0.1164749211,0.12,MB,A
3,LA-35,0.41,0.743,8.407,192,27.4,2.129064692,-0.8915981193,3.020662811,0.1101283317,0.11,MB,A
4,LA-40,0.51,3.083,14.534,182,26.0,2.676490732,-0.6733445533,3.349835285,0.1288398187,0.13,MB,A
1,LA-43,0.69,1.499,7.634,190,27.1,2.032611954,-0.3710636814,2.403675636,0.08855647079,0.09,PR,A
2,LA-46,0.94,2.504,17.559,186,26.6,2.865566639,-0.06187540372,2.927442043,0.11017255,0.11,PR,A
2,LA-49,0.680,1.260,11.865,183,26.1,2.47359289,-0.3856624808,2.859255371,0.109370424,0.11,PR,A
2,LA-50,0.690,-0.248,4.921,182,26.0,1.593511762,-0.3710636814,1.964575443,0.07556059397,0.08,PR,A
3,LA-53,0.63,0.366,5.355,188,26.9,1.678030704,-0.4620354596,2.140066163,0.0796833146,0.08,PR,A
2,RA-10,31.16,28.234,102.183,190,27.1,4.626765323,3.439135221,1.187630102,0.04375479325,0.04,OC,A
3,RA-12,18.97,16.074,62.944,186,26.6,4.142245442,2.942858784,1.199386658,0.04513820757,0.05,OC,A
4,RA-17,30.56,23.560,76.382,190,27.1,4.335747066,3.419691964,0.916055102,0.0337493985,0.03,OC,A
4,RA-20,31.41,22.617,81.629,180,25.7,4.402184591,3.447126314,0.9550582774,0.03714115523,0.04,OC,A
1,RA-22,25.56,20.267,76.764,178,25.4,4.34073578,3.24102863,1.099707151,0.04324691042,0.04,CP,A
1,RA-25,23.97,16.467,57.740,184,26.3,4.055950174,3.176803048,0.8791471258,0.03344581457,0.03,CP,A
2,RA-28,20.86,17.804,61.842,190,27.1,4.124582745,3.03783345,1.086749296,0.04003813195,0.04,CP,A
4,RA-40,19.21,15.085,52.355,188,26.9,3.958047444,2.955430977,1.002616467,0.0373314642,0.04,CP,A
3,RA-54,29.350,22.554,83.077,181,25.9,4.419767889,3.379292546,1.040475342,0.04023937788,0.04,PR,A
