Collection_Date,Intake_Date,Site,Species,Prop_ID,Treatment,Diameter,Epi_Length,Hypo_Length,Total_Height,Mass,Hypo_Color,Roots,RHMA_Height_1,RHMA_Height_2,Rooting_Tip,Data_Collecters,Date_Uploaded,Data_Uploaders,Notes
10/25/2024,10/25/2024,OC,RHMA,RA-1,A,13.2,2,38.2,40.2,33.63,G,N,21.3,19.5,,"LG, SS",10/25/2024,LG,
10/25/2024,10/25/2024,OC,RHMA,RA-2,A,11.2,1.7,29.5,31.2,18.54,G,N,19.1,15.5,,"LG, SS",10/25/2024,LG,
10/25/2024,10/25/2024,OC,RHMA,RA-3,A,12.7,1.5,34.7,36.2,27.07,G,Y,18.5,15.9,,"LG, SS",10/25/2024,LG,
10/25/2024,10/25/2024,OC,RHMA,RA-4,A,12.3,1.5,31.7,33.2,23.48,G,Y,21,18.2,,"LG, SS",10/25/2024,LG,Scratched Hypocotyl
10/25/2024,10/25/2024,OC,RHMA,RA-5,A,13.4,1.9,42,43.9,38.67,G,Y,30,27.4,,"LG, SS",10/25/2024,LG,Scratched Hypocotyl
10/25/2024,10/25/2024,OC,RHMA,RA-6,A,12.9,1.5,33.3,34.8,24.08,G,Y,22.4,20.4,,"LG, SS",10/25/2024,LG,
10/25/2024,10/25/2024,OC,RHMA,RA-7,A,11.2,1.9,32.7,34.6,19.59,G,N,21.2,19,,"LG, SS",10/25/2024,LG,
10/25/2024,10/25/2024,OC,RHMA,RA-8,A,12.6,1.8,32.8,34.6,24.85,G,Y,22.9,20.5,,"LG, SS",10/25/2024,LG,
10/25/2024,10/25/2024,OC,RHMA,RA-9,A,12.7,1.6,33.9,35.5,25.29,G,Y,23.7,21.4,,"LG, SS",10/25/2024,LG,
10/25/2024,10/25/2024,OC,RHMA,RA-10,A,13.3,1.7,36,37.7,31.16,G,Y,26.8,24.1,,"LG, SS",10/25/2024,LG,
10/25/2024,10/25/2024,OC,RHMA,RA-11,A,13.1,2,39.2,41.2,34.34,B,Y,24.3,22.7,,"LG, SS",10/25/2024,LG,
10/25/2024,10/25/2024,OC,RHMA,RA-12,A,11.2,1.8,29.4,31.2,18.97,G,Y,19.5,17.1,,"LG, SS",10/25/2024,LG,
10/25/2024,10/25/2024,OC,RHMA,RA-13,A,12.8,1.9,42.9,44.8,34.31,G,Y,31.5,28,,"LG, SS",10/25/2024,LG,
10/25/2024,10/25/2024,OC,RHMA,RA-14,A,13.6,2,31.7,33.7,26.97,G,Y,20.9,18.5,,"LG, SS",10/25/2024,LG,
10/25/2024,10/25/2024,OC,RHMA,RA-15,A,12.3,1.9,33.8,35.7,26.81,G,Y,23.2,19.9,,"LG, SS",10/25/2024,LG,
10/25/2024,10/25/2024,OC,RHMA,RA-16,A,13.4,2.8,46,48.8,41.08,G,Y,35.2,32.5,,"LG, SS",10/25/2024,LG,
