"Sampling Date 
(mm/dd/yyyy)",Time,Start Time,End Time,Treatment,Tank Number,Salinity Measurement 1,Salinity Measurement 2,Salinity Measurement 3,"Average 
automatically calculated",Collector Initials,Notes,Date Uploaded,Uploader Initials
11/18/2024,11:15,,,,1,36,35,35,35,"HH, SH",a lot of rain fell on the days before,12/07/2024,SH
11/18/2024,11:15,,,,2,37,38,38,38,"HH, SH",,12/07/2024,SH
11/18/2024,11:15,,,,3,36,37,37,37,"HH, SH",,12/07/2024,SH
11/18/2024,11:15,,,,4,36,35,37,36,"HH, SH",changed 2nd measurement to 35 instead of 5,12/07/2024,SH
11/18/2024,11:15,,,,5,36,30,36,34,"HH, SH",,12/07/2024,SH
11/18/2024,11:15,,,,6,36,22,36,31,"HH, SH",,12/07/2024,SH
11/18/2024,11:15,,,,7,37,36,36,36,"HH, SH",,12/07/2024,SH
11/18/2024,11:15,,,,8,36,35,36,36,"HH, SH",,12/07/2024,SH
11/18/2024,11:15,,,,9,36,35,35,35,"HH, SH",,12/07/2024,SH
11/18/2024,11:15,,,,10,36,36,36,36,"HH, SH",,12/07/2024,SH
11/18/2024,11:15,,,,11,35,34,35,35,"HH, SH",,12/07/2024,SH
11/18/2024,11:15,,,,12,36,35,33,35,"HH, SH",,12/07/2024,SH
11/18/2024,11:15,,,,13,36,36,36,36,"HH, SH",,12/07/2024,SH
11/18/2024,11:15,,,,14,36,31,34,34,"HH, SH",,12/07/2024,SH
11/18/2024,11:15,,,,15,37,37,38,37,"HH, SH",,12/07/2024,SH
11/18/2024,11:15,,,,16,38,31.5,37,36,"HH, SH",,12/07/2024,SH
11/18/2024,11:15,,,,17,37,14,37,29,"HH, SH",,12/07/2024,SH
11/18/2024,11:15,,,,18,38,39,38,38,"HH, SH",,12/07/2024,SH
11/18/2024,11:15,,,,19,37,31,30,33,"HH, SH",,12/07/2024,SH
11/18/2024,11:15,,,,20,37,35,36,36,"HH, SH",changed 2nd measurement to 35 instead of 5,12/07/2024,SH
11/26/2024,11am to 1pm,11:00,13:00,,1,36,36,35,36,"SH, NCD",,12/07/2024,SH
11/26/2024,11am to 1pm,11:00,13:00,,2,35,35,36,35,"SH, NCD",,12/07/2024,SH
11/26/2024,11am to 1pm,11:00,13:00,,3,35,35,35,35,"SH, NCD",,12/07/2024,SH
11/26/2024,11am to 1pm,11:00,13:00,,4,36,36,36,36,"SH, NCD",,12/07/2024,SH
11/26/2024,11am to 1pm,11:00,13:00,,5,36,36,36,36,"SH, NCD",,12/07/2024,SH
11/26/2024,11am to 1pm,11:00,13:00,,6,36,36,36,36,"SH, NCD",,12/07/2024,SH
11/26/2024,11am to 1pm,11:00,13:00,,7,37,34,35,35,"SH, NCD",,12/07/2024,SH
11/26/2024,11am to 1pm,11:00,13:00,,8,35,34,33,34,"SH, NCD",water was left off overnight after rotating plants,12/07/2024,SH
11/26/2024,11am to 1pm,11:00,13:00,,9,35,35,35,35,"SH, NCD",,12/07/2024,SH
11/26/2024,11am to 1pm,11:00,13:00,,10,35,35,35,35,"SH, NCD",,12/07/2024,SH
11/26/2024,11am to 1pm,11:00,13:00,,11,36,36,36,36,"SH, NCD",,12/07/2024,SH
11/26/2024,11am to 1pm,11:00,13:00,,12,37,37,36,37,"SH, NCD",,12/07/2024,SH
11/26/2024,11am to 1pm,11:00,13:00,,13,35,35,35,35,"SH, NCD",,12/07/2024,SH
11/26/2024,11am to 1pm,11:00,13:00,,14,33,35,35,34,"SH, NCD",,12/07/2024,SH
11/26/2024,11am to 1pm,11:00,13:00,,15,34,35,36,35,"SH, NCD",,12/07/2024,SH
11/26/2024,11am to 1pm,11:00,13:00,,16,35,36,36,36,"SH, NCD",,12/07/2024,SH
11/26/2024,11am to 1pm,11:00,13:00,,17,36,35,36,36,"SH, NCD",,12/07/2024,SH
11/26/2024,11am to 1pm,11:00,13:00,,18,35,35,36,35,"SH, NCD",,12/07/2024,SH
11/26/2024,11am to 1pm,11:00,13:00,,19,37,37,36,37,"SH, NCD",,12/07/2024,SH
11/26/2024,11am to 1pm,11:00,13:00,,20,36,36,36,36,"SH, NCD",,12/07/2024,SH
12/03/2024,11:34am to 12:59pm,11:34,12:59,,1,36,36,36,36,"ZG, SH",rain fell on this day,12/07/2024,SH
12/03/2024,11:34am to 12:59pm,11:34,12:59,,2,36,35,36,36,"ZG, SH",rain fell on this day,12/07/2024,SH
12/03/2024,11:34am to 12:59pm,11:34,12:59,,3,35,35,36,35,"ZG, SH",rain fell on this day,12/07/2024,SH
12/03/2024,11:34am to 12:59pm,11:34,12:59,,4,37,36,36,36,"ZG, SH",rain fell on this day,12/07/2024,SH
12/03/2024,11:34am to 12:59pm,11:34,12:59,,5,36,36,35,36,"ZG, SH",rain fell on this day,12/07/2024,SH
12/03/2024,11:34am to 12:59pm,11:34,12:59,,6,36,36,36,36,"ZG, SH",rain fell on this day,12/07/2024,SH
12/03/2024,11:34am to 12:59pm,11:34,12:59,,7,35,36,35,35,"ZG, SH",rain fell on this day,12/07/2024,SH
12/03/2024,11:34am to 12:59pm,11:34,12:59,,8,36,30,36,34,"ZG, SH",rain fell on this day,12/07/2024,SH
12/03/2024,11:34am to 12:59pm,11:34,12:59,,9,36,36,36,36,"ZG, SH",rain fell on this day,12/07/2024,SH
12/03/2024,11:34am to 12:59pm,11:34,12:59,,10,35,36,36,36,"ZG, SH",rain fell on this day,12/07/2024,SH
12/03/2024,11:34am to 12:59pm,11:34,12:59,,11,36,37,35,36,"ZG, SH",rain fell on this day,12/07/2024,SH
12/03/2024,11:34am to 12:59pm,11:34,12:59,,12,36,37,37,37,"ZG, SH",rain fell on this day,12/07/2024,SH
12/03/2024,11:34am to 12:59pm,11:34,12:59,,13,37,37,37,37,"ZG, SH",rain fell on this day,12/07/2024,SH
12/03/2024,11:34am to 12:59pm,11:34,12:59,,14,35,36,36,36,"ZG, SH",rain fell on this day,12/07/2024,SH
12/03/2024,11:34am to 12:59pm,11:34,12:59,,15,35,35,35,35,"ZG, SH",rain fell on this day,12/07/2024,SH
12/03/2024,11:34am to 12:59pm,11:34,12:59,,16,34,35,35,35,"ZG, SH",rain fell on this day,12/07/2024,SH
12/03/2024,11:34am to 12:59pm,11:34,12:59,,17,35,36,35,35,"ZG, SH",rain fell on this day,12/07/2024,SH
12/03/2024,11:34am to 12:59pm,11:34,12:59,,18,35,35,35,35,"ZG, SH",rain fell on this day,12/07/2024,SH
12/03/2024,11:34am to 12:59pm,11:34,12:59,,19,34,35,35,35,"ZG, SH",rain fell on this day,12/07/2024,SH
12/03/2024,11:34am to 12:59pm,11:34,12:59,,20,35,35,35,35,"ZG, SH",rain fell on this day,12/07/2024,SH
12/09/2024,11:12 am to 11:45 am,11:12,11:45,,1,37,37,37,37,"AR, SH",,1/17/2025,AR
12/09/2024,11:12 am to 11:45 am,11:12,11:45,,2,37,,,37,"AR, SH",,1/17/2025,AR
12/09/2024,11:12 am to 11:45 am,11:12,11:45,,3,37,36,37,37,"AR, SH",,1/17/2025,AR
12/09/2024,11:12 am to 11:45 am,11:12,11:45,,4,37,,,37,"AR, SH",,1/17/2025,AR
12/09/2024,11:12 am to 11:45 am,11:12,11:45,,5,36,36,37,36,"AR, SH",,1/17/2025,AR
12/09/2024,11:12 am to 11:45 am,11:12,11:45,,6,37,37,37,37,"AR, SH",,1/17/2025,AR
12/09/2024,11:12 am to 11:45 am,11:12,11:45,,7,37,37,37,37,"AR, SH",watered before testing,1/17/2025,AR
12/09/2024,11:12 am to 11:45 am,11:12,11:45,,8,37,37,37,37,"AR, SH",,1/17/2025,AR
12/09/2024,11:12 am to 11:45 am,11:12,11:45,,9,37,37,37,37,"AR, SH",,1/17/2025,AR
12/09/2024,11:12 am to 11:45 am,11:12,11:45,,10,37,37,37,37,"AR, SH",,1/17/2025,AR
12/09/2024,11:12 am to 11:45 am,11:12,11:45,,11,37,37,37,37,"AR, SH",,1/17/2025,AR
12/09/2024,11:12 am to 11:45 am,11:12,11:45,,12,36,37,37,37,"AR, SH",,1/17/2025,AR
12/09/2024,11:12 am to 11:45 am,11:12,11:45,,13,36,36,36,36,"AR, SH",watered before testing,1/17/2025,AR
12/09/2024,11:12 am to 11:45 am,11:12,11:45,,14,37,37,37,37,"AR, SH",watered before testing,1/17/2025,AR
12/09/2024,11:12 am to 11:45 am,11:12,11:45,,15,37,37,37,37,"AR, SH",,1/17/2025,AR
12/09/2024,11:12 am to 11:45 am,11:12,11:45,,16,37,38,38,38,"AR, SH",,1/17/2025,AR
12/09/2024,11:12 am to 11:45 am,11:12,11:45,,17,37,37,37,37,"AR, SH",,1/17/2025,AR
12/09/2024,11:12 am to 11:45 am,11:12,11:45,,18,38,37,37,37,"AR, SH",,1/17/2025,AR
12/09/2024,11:12 am to 11:45 am,11:12,11:45,,19,37,37,37,37,"AR, SH",,1/17/2025,AR
12/09/2024,11:12 am to 11:45 am,11:12,11:45,,20,37,37,37,37,"AR, SH",,1/17/2025,AR
12/18/2024,10:20am to 11:30am,10:20,11:30,,1,37,36,36,36,TT,rainfall,1/17/2025,AR
12/18/2024,10:20am to 11:30am,10:20,11:30,,2,37,37,37,37,TT,,1/17/2025,AR
12/18/2024,10:20am to 11:30am,10:20,11:30,,3,36,37,36,36,TT,,1/17/2025,AR
12/18/2024,10:20am to 11:30am,10:20,11:30,,4,38,37,36,37,TT,,1/17/2025,AR
12/18/2024,10:20am to 11:30am,10:20,11:30,,5,37,36,37,37,TT,,1/17/2025,AR
12/18/2024,10:20am to 11:30am,10:20,11:30,,6,37,37,37,37,TT,,1/17/2025,AR
12/18/2024,10:20am to 11:30am,10:20,11:30,,7,37,36,37,37,TT,,1/17/2025,AR
12/18/2024,10:20am to 11:30am,10:20,11:30,,8,36,36,37,36,TT,,1/17/2025,AR
12/18/2024,10:20am to 11:30am,10:20,11:30,,9,37,36,37,37,TT,,1/17/2025,AR
12/18/2024,10:20am to 11:30am,10:20,11:30,,10,37,38,38,38,TT,,1/17/2025,AR
12/18/2024,10:20am to 11:30am,10:20,11:30,,11,38,37,37,37,TT,,1/17/2025,AR
12/18/2024,10:20am to 11:30am,10:20,11:30,,12,37,36,37,37,TT,,1/17/2025,AR
12/18/2024,10:20am to 11:30am,10:20,11:30,,13,38,36,36,37,TT,,1/17/2025,AR
12/18/2024,10:20am to 11:30am,10:20,11:30,,14,36,35,35,35,TT,,1/17/2025,AR
12/18/2024,10:20am to 11:30am,10:20,11:30,,15,36,36,36,36,TT,,1/17/2025,AR
12/18/2024,10:20am to 11:30am,10:20,11:30,,16,36,36,36,36,TT,,1/17/2025,AR
12/18/2024,10:20am to 11:30am,10:20,11:30,,17,36,36,36,36,TT,,1/17/2025,AR
12/18/2024,10:20am to 11:30am,10:20,11:30,,18,37,37,37,37,TT,,1/17/2025,AR
12/18/2024,10:20am to 11:30am,10:20,11:30,,19,37,37,36,37,TT,,1/17/2025,AR
12/18/2024,10:20am to 11:30am,10:20,11:30,,20,36,36,37,36,TT,,1/17/2025,AR
12/26/2024,10:00am to 10:30am,10:00,10:30,,1,37,36,36,36,"LR, HR",,1/17/2025,AR
12/26/2024,10:00am to 10:30am,10:00,10:30,,2,37,37,37,37,"LR, HR",,1/17/2025,AR
12/26/2024,10:00am to 10:30am,10:00,10:30,,3,37,37,36,37,"LR, HR",,1/17/2025,AR
12/26/2024,10:00am to 10:30am,10:00,10:30,,4,36,37,36,36,"LR, HR",,1/17/2025,AR
12/26/2024,10:00am to 10:30am,10:00,10:30,,5,36,36,36,36,"LR, HR",,1/17/2025,AR
12/26/2024,10:00am to 10:30am,10:00,10:30,,6,36,36,36,36,"LR, HR",,1/17/2025,AR
12/26/2024,10:00am to 10:30am,10:00,10:30,,7,35,35,36,35,"LR, HR",,1/17/2025,AR
12/26/2024,10:00am to 10:30am,10:00,10:30,,8,35,36,36,36,"LR, HR",,1/17/2025,AR
12/26/2024,10:00am to 10:30am,10:00,10:30,,9,37,36,36,36,"LR, HR",,1/17/2025,AR
12/26/2024,10:00am to 10:30am,10:00,10:30,,10,36,37,37,37,"LR, HR",,1/17/2025,AR
12/26/2024,10:00am to 10:30am,10:00,10:30,,11,36,36,36,36,"LR, HR",,1/17/2025,AR
12/26/2024,10:00am to 10:30am,10:00,10:30,,12,36,36,36,36,"LR, HR",,1/17/2025,AR
12/26/2024,10:00am to 10:30am,10:00,10:30,,13,36,36,36,36,"LR, HR",,1/17/2025,AR
12/26/2024,10:00am to 10:30am,10:00,10:30,,14,36,36,37,36,"LR, HR",,1/17/2025,AR
12/26/2024,10:00am to 10:30am,10:00,10:30,,15,36,36,36,36,"LR, HR",,1/17/2025,AR
12/26/2024,10:00am to 10:30am,10:00,10:30,,16,36,36,36,36,"LR, HR",,1/17/2025,AR
12/26/2024,10:00am to 10:30am,10:00,10:30,,17,36,35,36,36,"LR, HR",,1/17/2025,AR
12/26/2024,10:00am to 10:30am,10:00,10:30,,18,36,37,38,37,"LR, HR",,1/17/2025,AR
12/26/2024,10:00am to 10:30am,10:00,10:30,,19,38,36,37,37,"LR, HR",,1/17/2025,AR
12/26/2024,10:00am to 10:30am,10:00,10:30,,20,38,38,38,38,"LR, HR",,1/17/2025,AR
12/30/2024,12:04pm to 12:23pm,12:04,12:23,,1,37,36,37,37,"HR, AR",,1/17/2025,AR
12/30/2024,12:04pm to 12:23pm,12:04,12:23,,2,36,37,37,37,"HR, AR",,1/17/2025,AR
12/30/2024,12:04pm to 12:23pm,12:04,12:23,,3,36,37,38,37,"HR, AR",,1/17/2025,AR
12/30/2024,12:04pm to 12:23pm,12:04,12:23,,4,37,37,37,37,"HR, AR",,1/17/2025,AR
12/30/2024,12:04pm to 12:23pm,12:04,12:23,,5,37,38,38,38,"HR, AR",,1/17/2025,AR
12/30/2024,12:04pm to 12:23pm,12:04,12:23,,6,38,36,37,37,"HR, AR",,1/17/2025,AR
12/30/2024,12:04pm to 12:23pm,12:04,12:23,,7,35,36,36,36,"HR, AR",,1/17/2025,AR
12/30/2024,12:04pm to 12:23pm,12:04,12:23,,8,36,36,36,36,"HR, AR",,1/17/2025,AR
