"Sampling Date 
(mm/dd/yyyy)",Time,Start Time,End Time,Treatment,Tank Number,Salinity Measurement 1,Salinity Measurement 2,Salinity Measurement 3,"Average 
automatically calculated",Collector Initials,Notes,Date Uploaded,Uploader Initials
11/18/2024,11:15,,,E,1,36,35,35,35,"HH, SH",a lot of rain fell on the days before,12/07/2024,SH
11/18/2024,11:15,,,E,2,37,38,38,38,"HH, SH",,12/07/2024,SH
11/18/2024,11:15,,,C,3,36,37,37,37,"HH, SH",,12/07/2024,SH
11/18/2024,11:15,,,A,4,36,35,37,36,"HH, SH",changed 2nd measurement to 35 instead of 5,12/07/2024,SH
11/18/2024,11:15,,,C,5,36,30,36,34,"HH, SH",,12/07/2024,SH
11/18/2024,11:15,,,D,6,36,22,36,31,"HH, SH",,12/07/2024,SH
11/18/2024,11:15,,,B,7,37,36,36,36,"HH, SH",,12/07/2024,SH
11/18/2024,11:15,,,A,8,36,35,36,36,"HH, SH",,12/07/2024,SH
11/18/2024,11:15,,,B,9,36,35,35,35,"HH, SH",,12/07/2024,SH
11/18/2024,11:15,,,D,10,36,36,36,36,"HH, SH",,12/07/2024,SH
11/18/2024,11:15,,,E,11,35,34,35,35,"HH, SH",,12/07/2024,SH
11/18/2024,11:15,,,A,12,36,35,33,35,"HH, SH",,12/07/2024,SH
11/18/2024,11:15,,,C,13,36,36,36,36,"HH, SH",,12/07/2024,SH
11/18/2024,11:15,,,B,14,36,31,34,34,"HH, SH",,12/07/2024,SH
11/18/2024,11:15,,,C,15,37,37,38,37,"HH, SH",,12/07/2024,SH
11/18/2024,11:15,,,A,16,38,31.5,37,36,"HH, SH",,12/07/2024,SH
11/18/2024,11:15,,,D,17,37,14,37,29,"HH, SH",,12/07/2024,SH
11/18/2024,11:15,,,D,18,38,39,38,38,"HH, SH",,12/07/2024,SH
11/18/2024,11:15,,,E,19,37,31,30,33,"HH, SH",,12/07/2024,SH
11/18/2024,11:15,,,B,20,37,35,36,36,"HH, SH",changed 2nd measurement to 35 instead of 5,12/07/2024,SH
