species,treatment_name,time_period,n_records,mean_total_height_cm,sd_total_height_cm,mean_branches,sd_branches,mean_AGR_cm_per_TP,sd_AGR_cm_per_TP,mean_RGR_per_TP,sd_RGR_per_TP
LARA,Soil,0,58,0,0,0,0,NA,NA,NA,NA
LARA,Soil,1,58,4.274418604651163,2.7065478823855353,0,0,4.274418604651163,2.7065478823855353,NA,NA
LARA,Soil,2,58,6.691025641025641,3.2570343265904325,0.1794871794871795,0.6436652804465701,1.9894736842105265,1.7263521099117847,0.3333302195738437,0.3045520775164417
LARA,Soil,3,58,8.28875,4.565133855144295,0.45,1.1082441645256376,1.7820512820512817,1.8344469688468703,0.1915678989275517,0.19617233494774308
LARA,Soil,4,58,10.825,4.5167228954503855,1.4444444444444444,1.4029447488244033,1.7569444444444446,1.4222794972346215,0.17973482734631777,0.2653761279850682
LARA,Soil,5,58,13.758571428571429,4.522760832303482,1.8857142857142857,1.6046151924889613,2.68,2.384329971242384,0.26850015453264997,0.2965001994223472
LARA,Soil,6,58,16.20285714285714,4.782150372465712,2.1714285714285713,1.562157525492798,2.4442857142857144,2.163187035663006,0.17577208918015155,0.18850879510007124
LARA,Crushed glass (CG),0,59,0,0,0,0,NA,NA,NA,NA
LARA,Crushed glass (CG),1,59,2.1486486486486487,1.6322482146518753,0,0,2.1486486486486487,1.6322482146518753,NA,NA
LARA,Crushed glass (CG),2,59,3.7456521739130437,1.3575473408351901,0,0,0.8565217391304348,0.6380553459582711,0.2935175092532039,0.24847506329996685
LARA,Crushed glass (CG),3,59,3.384782608695652,1.641329476550301,0,0,-0.3608695652173914,0.5134456954863277,-0.09714488467769132,0.1497032218871331
LARA,Crushed glass (CG),4,59,3.8441176470588236,1.3850634408914697,0,0,0.23823529411764713,0.46921790372541256,0.05533929011697558,0.12530717577667264
LARA,Crushed glass (CG),5,59,3.9558823529411766,1.3191951088804557,0.17647058823529413,0.5285941398709244,0.11176470588235281,0.6251323389303027,0.03473813548925606,0.16363785908519796
LARA,Crushed glass (CG),6,59,3.85,1.74892824323927,0.23529411764705882,0.5622957145383871,-0.10588235294117639,0.9280157516411657,-0.03329953016559339,0.3418771835746302
LARA,3:1 CG to SG,0,60,0,0,0,0,NA,NA,NA,NA
LARA,3:1 CG to SG,1,60,2.0090909090909093,1.992895763136465,0,0,2.0090909090909093,1.992895763136465,NA,NA
LARA,3:1 CG to SG,2,60,2.0734375,2.63625419668061,0.0625,0.3535533905932738,0.11333333333333334,1.4982134955208886,0.06290170029556937,0.6488480357016243
LARA,3:1 CG to SG,3,60,2.7703703703703706,2.769485486069544,0.2,0.6454972243679028,0.26111111111111124,0.9965646118747271,0.06736875285736536,0.35159134531134206
LARA,3:1 CG to SG,4,60,3.4575,2.5422366343956178,0.55,0.7591546545162482,0.004999999999999694,1.0373168830157318,-0.003410883956656072,0.5025263317530748
LARA,3:1 CG to SG,5,60,4.244736842105263,2.882123770225801,0.8947368421052632,1.0485300208760655,0.7447368421052634,1.035735747192157,0.11011774931234604,0.3288185446930402
LARA,3:1 CG to SG,6,60,4.5588235294117645,4.506115126071655,0.8235294117647058,1.0145993123917847,-0.0029411764705883033,2.375754524108821,0.029399500105355438,0.46682239766510053
LARA,1:3 CG to SG,0,60,0,0,0,0,NA,NA,NA,NA
LARA,1:3 CG to SG,1,60,1.527777777777778,2.313974313639416,0,0,1.527777777777778,2.313974313639416,NA,NA
LARA,1:3 CG to SG,2,60,-0.13999999999999999,4.091441645293515,0.4166666666666667,0.6685579234215214,-0.5566666666666666,2.054947572034266,-0.13799423972577787,0.9298303902811633
LARA,1:3 CG to SG,3,60,3.37,2.2769619135057035,0.9,1.1972189997378648,-0.12000000000000008,1.0628055116320936,0.040532506219695535,0.42283639388515054
LARA,1:3 CG to SG,4,60,5.022222222222222,2.0611148547435305,1.5555555555555556,1.5898986690282426,1.1944444444444442,0.5485460580277444,0.32299305718201793,0.17872334930689165
LARA,1:3 CG to SG,5,60,6.85,2.498599607780327,1.6666666666666667,1.3662601021279464,1.1916666666666669,0.905216364559693,0.20248080459220588,0.2038452160891879
LARA,1:3 CG to SG,6,60,7.7,3.0021658848238215,2.1666666666666665,2.041241452319315,0.8499999999999998,1.3126309458488319,0.10345618455392747,0.2293532871580002
LARA,Sargassum only (SG),0,60,0,0,0,0,NA,NA,NA,NA
LARA,Sargassum only (SG),1,60,3.293103448275862,2.08394046982475,0,0,3.293103448275862,2.08394046982475,NA,NA
LARA,Sargassum only (SG),2,60,3.2624999999999997,3.2100470672426353,0.11538461538461539,0.43145549730400484,-0.2477272727272727,1.81956805920469,-0.1586611706480773,0.6056470703794612
LARA,Sargassum only (SG),3,60,1.77,2.857810933797639,0.12,0.43969686527576396,-1.2608695652173914,1.3237306545705596,-0.36676428123858257,0.46910343525060416
LARA,Sargassum only (SG),4,60,4.29,2.43551842530497,0.8,1.0954451150103321,0.18000000000000008,0.6300793600809349,-0.01110015737097365,0.1609156069475199
LARA,Sargassum only (SG),5,60,2.5833333333333335,2.0250514396758748,0.6666666666666666,1.1547005383792515,-0.7499999999999999,1.2216791722870615,-0.582162995060485,1.0145772964774706
LARA,Sargassum only (SG),6,60,8.05,NA,2,NA,3.750000000000001,NA,0.6270570687309556,NA
RHMA,Soil,0,60,21.28333333333333,4.036703079421674,0,0,NA,NA,NA,NA
RHMA,Soil,1,60,29.421666666666667,5.508809329246084,0,0,8.138333333333334,3.404301449869256,0.3228242630865802,0.12330703220591022
RHMA,Soil,2,60,39.248333333333335,7.022777509988641,0.03333333333333333,0.2581988897471611,9.826666666666666,3.6052746982327872,0.28754985437492353,0.10573188757533587
RHMA,Soil,3,60,41.99916666666667,7.210564822293548,0.9666666666666667,1.0887197685645635,2.750833333333333,1.7605731844638286,0.06940976589726697,0.047262607525866265
RHMA,Soil,4,60,43.903333333333336,6.8120460767241156,1.4333333333333333,1.3450054081759668,1.9041666666666668,1.6536629005636438,0.04783775967952131,0.0460617377210207
RHMA,Soil,5,60,45.376666666666665,6.720664229346369,1.7833333333333334,1.3789171220122445,1.4733333333333343,1.814850852224284,0.034707585055779096,0.04696162973919189
RHMA,Soil,6,60,45.92166666666667,6.952992080396504,1.8333333333333333,1.2909944487358056,0.5449999999999993,2.4567737559929275,0.011637893953930882,0.05506775704272575
RHMA,Crushed glass (CG),0,60,23.185833333333335,4.051355618139781,0,0,NA,NA,NA,NA
RHMA,Crushed glass (CG),1,60,27.741666666666667,3.8218835389517993,0,0,4.555833333333333,2.4237191561776705,0.18475686875267847,0.10107771312844484
RHMA,Crushed glass (CG),2,60,35.84166666666667,4.4431929146545235,0,0,8.1,2.320158527605461,0.25751790826710075,0.07210886644527637
RHMA,Crushed glass (CG),3,60,38.095,4.448725774527933,0.05,0.2867113353714995,2.253333333333333,2.0246754639851,0.06195299904718374,0.05919196762270172
