"Treatment_Name","Species","n_total","n_alive","survival_rate","se"
"Soil","LARA",58,35,60.3448275862069,6.42326662813112
"Crushed glass","LARA",59,17,28.8135593220339,5.89618482134347
"25% SG","LARA",60,17,28.3333333333333,5.81743866255525
"75% SG","LARA",60,6,10,3.87298334620742
"100% Sargassum (SG)","LARA",60,1,1.66666666666667,1.6527194200715
"Soil","RHMA",60,60,100,0
"Crushed glass","RHMA",60,60,100,0
"25% SG","RHMA",60,59,98.3333333333333,1.6527194200715
"100% Sargassum (SG)","RHMA",60,49,81.6666666666667,4.99536822503644
"75% SG","RHMA",60,38,63.3333333333333,6.22123007963085
