species,variable,treatment,letter,significant,p_value
RHMA,leaves,Soil,a,TRUE,1.2979029923963852e-5
RHMA,leaves,Crushed glass,b,TRUE,1.2979029923963852e-5
RHMA,leaves,100% Sargassum (SG),b,TRUE,1.2979029923963852e-5
RHMA,leaves,25% SG,b,TRUE,1.2979029923963852e-5
RHMA,leaves,75% SG,b,TRUE,1.2979029923963852e-5
RHMA,stem,Soil,a,TRUE,2.435185645522271e-8
RHMA,stem,Crushed glass,b,TRUE,2.435185645522271e-8
RHMA,stem,100% Sargassum (SG),b,TRUE,2.435185645522271e-8
RHMA,stem,25% SG,b,TRUE,2.435185645522271e-8
RHMA,stem,75% SG,b,TRUE,2.435185645522271e-8
RHMA,hypocotyl,Soil,a,TRUE,0.026389711999884425
RHMA,hypocotyl,Crushed glass,ab,TRUE,0.026389711999884425
RHMA,hypocotyl,100% Sargassum (SG),ab,TRUE,0.026389711999884425
RHMA,hypocotyl,25% SG,ab,TRUE,0.026389711999884425
RHMA,hypocotyl,75% SG,b,TRUE,0.026389711999884425
RHMA,fine_roots,Soil,a,TRUE,4.643455824104587e-7
RHMA,fine_roots,25% SG,b,TRUE,4.643455824104587e-7
RHMA,fine_roots,75% SG,bc,TRUE,4.643455824104587e-7
RHMA,fine_roots,100% Sargassum (SG),bc,TRUE,4.643455824104587e-7
RHMA,fine_roots,Crushed glass,c,TRUE,4.643455824104587e-7
RHMA,coarse_roots,Soil,a,TRUE,3.531237480999584e-5
RHMA,coarse_roots,Crushed glass,ab,TRUE,3.531237480999584e-5
RHMA,coarse_roots,25% SG,bc,TRUE,3.531237480999584e-5
RHMA,coarse_roots,75% SG,c,TRUE,3.531237480999584e-5
RHMA,coarse_roots,100% Sargassum (SG),c,TRUE,3.531237480999584e-5
RHMA,above_ground,Soil,a,TRUE,7.335168036737472e-4
RHMA,above_ground,Crushed glass,ab,TRUE,7.335168036737472e-4
RHMA,above_ground,100% Sargassum (SG),ab,TRUE,7.335168036737472e-4
RHMA,above_ground,25% SG,b,TRUE,7.335168036737472e-4
RHMA,above_ground,75% SG,b,TRUE,7.335168036737472e-4
RHMA,below_ground,Soil,a,TRUE,3.902415900923864e-6
RHMA,below_ground,Crushed glass,b,TRUE,3.902415900923864e-6
RHMA,below_ground,25% SG,b,TRUE,3.902415900923864e-6
RHMA,below_ground,75% SG,b,TRUE,3.902415900923864e-6
RHMA,below_ground,100% Sargassum (SG),b,TRUE,3.902415900923864e-6
RHMA,total_biomass,Soil,a,TRUE,1.8762603984502646e-4
RHMA,total_biomass,Crushed glass,ab,TRUE,1.8762603984502646e-4
RHMA,total_biomass,100% Sargassum (SG),b,TRUE,1.8762603984502646e-4
RHMA,total_biomass,25% SG,b,TRUE,1.8762603984502646e-4
RHMA,total_biomass,75% SG,b,TRUE,1.8762603984502646e-4
LARA,leaves,Soil,a,TRUE,1.2767601068324874e-6
LARA,leaves,75% SG,b,TRUE,1.2767601068324874e-6
LARA,leaves,25% SG,b,TRUE,1.2767601068324874e-6
LARA,leaves,Crushed glass,b,TRUE,1.2767601068324874e-6
LARA,stem,Soil,a,TRUE,8.815968973469252e-5
LARA,stem,75% SG,ab,TRUE,8.815968973469252e-5
LARA,stem,25% SG,b,TRUE,8.815968973469252e-5
LARA,stem,Crushed glass,b,TRUE,8.815968973469252e-5
LARA,fine_roots,Soil,a,TRUE,0.0013821535637828317
LARA,fine_roots,75% SG,ab,TRUE,0.0013821535637828317
LARA,fine_roots,25% SG,b,TRUE,0.0013821535637828317
LARA,fine_roots,Crushed glass,b,TRUE,0.0013821535637828317
LARA,coarse_roots,Soil,a,TRUE,2.1457366934899655e-5
LARA,coarse_roots,25% SG,b,TRUE,2.1457366934899655e-5
LARA,coarse_roots,75% SG,b,TRUE,2.1457366934899655e-5
LARA,coarse_roots,Crushed glass,b,TRUE,2.1457366934899655e-5
LARA,above_ground,Soil,a,TRUE,5.706803840867194e-6
LARA,above_ground,75% SG,b,TRUE,5.706803840867194e-6
LARA,above_ground,25% SG,b,TRUE,5.706803840867194e-6
LARA,above_ground,Crushed glass,b,TRUE,5.706803840867194e-6
LARA,below_ground,Soil,a,TRUE,1.4526547502700552e-4
LARA,below_ground,75% SG,b,TRUE,1.4526547502700552e-4
LARA,below_ground,25% SG,b,TRUE,1.4526547502700552e-4
LARA,below_ground,Crushed glass,b,TRUE,1.4526547502700552e-4
LARA,total_biomass,Soil,a,TRUE,1.956223509939181e-5
LARA,total_biomass,75% SG,b,TRUE,1.956223509939181e-5
LARA,total_biomass,25% SG,b,TRUE,1.956223509939181e-5
LARA,total_biomass,Crushed glass,b,TRUE,1.956223509939181e-5
