species,treatment,n,mean_value,sd_value,se_value,variable,letter,significant,p_value
LARA,Soil,10,0.6593,0.346632386125577,0.10961478509357718,leaves,a,TRUE,1.2767601068324874e-6
LARA,Crushed glass,10,0,0,0,leaves,b,TRUE,1.2767601068324874e-6
LARA,25% SG,10,0.1505,0.16221402186275047,0.05129657775026408,leaves,b,TRUE,1.2767601068324874e-6
LARA,75% SG,6,0.17566666666666667,0.23167103113394794,0.09457930241043463,leaves,b,TRUE,1.2767601068324874e-6
RHMA,Soil,10,3.2367,0.7880383591904366,0.24919960986236628,leaves,a,TRUE,1.2979029923963852e-5
RHMA,Crushed glass,10,2.105,0.6286192983215058,0.19878687638328196,leaves,b,TRUE,1.2979029923963852e-5
RHMA,25% SG,10,1.7651999999999999,0.7120389814547453,0.2251664964223388,leaves,b,TRUE,1.2979029923963852e-5
RHMA,75% SG,10,1.4303,0.4305655325008933,0.1361567764666077,leaves,b,TRUE,1.2979029923963852e-5
RHMA,100% Sargassum (SG),10,1.8807,0.9031131404450078,0.2855894508633756,leaves,b,TRUE,1.2979029923963852e-5
LARA,Soil,10,0.3324,0.2381377752478594,0.07530577667085042,stem,a,TRUE,8.815968973469252e-5
LARA,Crushed glass,10,0,0,0,stem,b,TRUE,8.815968973469252e-5
LARA,25% SG,10,0.0615,0.077189881317293,0.02440958372807242,stem,b,TRUE,8.815968973469252e-5
LARA,75% SG,6,0.1345,0.14672389035191236,0.05989977740637551,stem,ab,TRUE,8.815968973469252e-5
RHMA,Soil,10,1.9127,0.40819196192205665,0.12908163222464214,stem,a,TRUE,2.435185645522271e-8
RHMA,Crushed glass,10,0.9045,0.28016354350827144,0.08859549148298185,stem,b,TRUE,2.435185645522271e-8
RHMA,25% SG,10,0.666,0.3504096015934622,0.11080924550275076,stem,b,TRUE,2.435185645522271e-8
RHMA,75% SG,10,0.4839,0.2816776920919053,0.08907430730700194,stem,b,TRUE,2.435185645522271e-8
RHMA,100% Sargassum (SG),10,0.7937,0.7136430869528237,0.22567375912045146,stem,b,TRUE,2.435185645522271e-8
LARA,Soil,10,0,0,0,hypocotyl,,FALSE,NA
LARA,Crushed glass,10,0,0,0,hypocotyl,,FALSE,NA
LARA,25% SG,10,0,0,0,hypocotyl,,FALSE,NA
LARA,75% SG,6,0,0,0,hypocotyl,,FALSE,NA
RHMA,Soil,10,11.234,2.273738233736583,0.7190191621615905,hypocotyl,a,TRUE,0.026389711999884425
RHMA,Crushed glass,10,9.8716,4.257804551643957,1.3464360215026927,hypocotyl,ab,TRUE,0.026389711999884425
RHMA,25% SG,10,8.515600000000001,3.1169971019128866,0.9856810302188702,hypocotyl,ab,TRUE,0.026389711999884425
RHMA,75% SG,10,6.8166,1.4276416606106417,0.45145993300747195,hypocotyl,b,TRUE,0.026389711999884425
RHMA,100% Sargassum (SG),10,9.7531,3.1987288256430864,1.0115268706267766,hypocotyl,ab,TRUE,0.026389711999884425
LARA,Soil,10,0.3243,0.2503056132011426,0.07915358488407205,fine_roots,a,TRUE,0.0013821535637828317
LARA,Crushed glass,10,0,0,0,fine_roots,b,TRUE,0.0013821535637828317
LARA,25% SG,10,0.0658,0.1141644038705196,0.036101954394618455,fine_roots,b,TRUE,0.0013821535637828317
LARA,75% SG,6,0.17216666666666666,0.239907829523479,0.0979419612718562,fine_roots,ab,TRUE,0.0013821535637828317
RHMA,Soil,10,1.5733,0.2506799863482435,0.07927197206803648,fine_roots,a,TRUE,4.643455824104587e-7
RHMA,Crushed glass,10,0.6415,0.32952398327823657,0.1042046330810466,fine_roots,c,TRUE,4.643455824104587e-7
RHMA,25% SG,10,1.0592,0.3044476966574062,0.09627481498294349,fine_roots,b,TRUE,4.643455824104587e-7
RHMA,75% SG,10,0.9325,0.1956188186811847,0.06186010202240391,fine_roots,bc,TRUE,4.643455824104587e-7
RHMA,100% Sargassum (SG),10,0.8707,0.4062864479376315,0.12847905579423355,fine_roots,bc,TRUE,4.643455824104587e-7
LARA,Soil,10,0.3128,0.23205784719428138,0.07338313460492434,coarse_roots,a,TRUE,2.1457366934899655e-5
LARA,Crushed glass,10,4e-4,0.0012649110640673518,3.9999999999999996e-4,coarse_roots,b,TRUE,2.1457366934899655e-5
LARA,25% SG,10,0.0448,0.07527401794628594,0.023803734534265368,coarse_roots,b,TRUE,2.1457366934899655e-5
LARA,75% SG,6,0.025666666666666664,0.0566627449623354,0.023132468763863295,coarse_roots,b,TRUE,2.1457366934899655e-5
RHMA,Soil,10,2.232,0.9303590704668817,0.2942053704472439,coarse_roots,a,TRUE,3.531237480999584e-5
RHMA,Crushed glass,10,1.9532,0.44847811788561354,0.14182123332640365,coarse_roots,ab,TRUE,3.531237480999584e-5
RHMA,25% SG,10,1.1881,0.8363379766046207,0.26447328997672165,coarse_roots,bc,TRUE,3.531237480999584e-5
RHMA,75% SG,10,0.9363,0.4212225724668083,0.1332022730870444,coarse_roots,c,TRUE,3.531237480999584e-5
RHMA,100% Sargassum (SG),10,0.9216,0.4875041196407131,0.15416233867798798,coarse_roots,c,TRUE,3.531237480999584e-5
LARA,Soil,10,0.9917,0.5787701616358604,0.1830231952513123,above_ground,a,TRUE,5.706803840867194e-6
LARA,Crushed glass,10,0,0,0,above_ground,b,TRUE,5.706803840867194e-6
LARA,25% SG,10,0.212,0.2367089164165793,0.07485393183468128,above_ground,b,TRUE,5.706803840867194e-6
LARA,75% SG,6,0.31016666666666665,0.37467821749691654,0.15296174176716365,above_ground,b,TRUE,5.706803840867194e-6
RHMA,Soil,10,16.383399999999998,3.2842053055326628,1.0385569069092406,above_ground,a,TRUE,7.335168036737472e-4
RHMA,Crushed glass,10,12.8811,4.618065190098554,1.4603604383849897,above_ground,ab,TRUE,7.335168036737472e-4
RHMA,25% SG,10,10.9468,3.906225111565157,1.235256840589123,above_ground,b,TRUE,7.335168036737472e-4
RHMA,75% SG,10,8.7308,1.9194317909214693,0.6069776272647945,above_ground,b,TRUE,7.335168036737472e-4
RHMA,100% Sargassum (SG),10,12.4275,4.103618437157356,1.2976780909677783,above_ground,ab,TRUE,7.335168036737472e-4
LARA,Soil,10,0.6371,0.4640264480010212,0.14673804702409135,below_ground,a,TRUE,1.4526547502700552e-4
LARA,Crushed glass,10,4e-4,0.0012649110640673518,3.9999999999999996e-4,below_ground,b,TRUE,1.4526547502700552e-4
LARA,25% SG,10,0.1106,0.186348061433437,0.05892843116866425,below_ground,b,TRUE,1.4526547502700552e-4
LARA,75% SG,6,0.19783333333333333,0.2919009535213386,0.11916806525985803,below_ground,b,TRUE,1.4526547502700552e-4
RHMA,Soil,10,3.8053,0.9469650996736892,0.299456657965723,below_ground,a,TRUE,3.902415900923864e-6
RHMA,Crushed glass,10,2.5947,0.547282183968096,0.1730658224170471,below_ground,b,TRUE,3.902415900923864e-6
RHMA,25% SG,10,2.2473,0.976959916157146,0.30894185177437156,below_ground,b,TRUE,3.902415900923864e-6
RHMA,75% SG,10,1.8688,0.5287019324093051,0.16719023097457977,below_ground,b,TRUE,3.902415900923864e-6
RHMA,100% Sargassum (SG),10,1.7923,0.8473408142864096,0.26795269275667966,below_ground,b,TRUE,3.902415900923864e-6
