Comparison,Z,P.unadj,P.adj
100% SG - 25% SG,0.5641984444912671,0.5726190863261409,1
100% SG - 75% SG,-0.8171277209811343,0.4138554426030456,1
25% SG - 75% SG,-1.3813261654724014,0.16717869655341652,1
100% SG - Crushed glass,0.724817766057825,0.4685638351098922,1
25% SG - Crushed glass,0.16061932156655792,0.8723932360776061,1
75% SG - Crushed glass,1.5419454870389593,0.12308684107282329,1
100% SG - Soil,0.916453232478615,0.3594292260764774,1
25% SG - Soil,0.3522547879873479,0.7246471917646802,1
75% SG - Soil,1.7335809534597493,0.08299246233920933,0.8299246233920933
Crushed glass - Soil,0.19163546642078996,0.8480277591791048,1
