Comparison,Z,P.unadj,P.adj
1 - 10,0.12923393689263324,0.897172543605574,1
1 - 11,0.08418667889005817,0.9329080092935853,1
10 - 11,-0.04504725800257507,0.9640696407235998,1
1 - 12,0.21785149361901038,0.8275448218535042,1
10 - 12,0.08861755672637714,0.9293858547307869,1
11 - 12,0.13366481472895222,0.8936676292128077,1
1 - 13,-0.39877900526869675,0.6900560480045812,1
10 - 13,-0.52801294216133,0.5974903532180342,1
11 - 13,-0.4829656841587549,0.6291201019973276,1
12 - 13,-0.6166304988877072,0.5374784729816098,1
1 - 14,0.24665219955508252,0.805177402905893,1
10 - 14,0.1174182626624493,0.9065286126644133,1
11 - 14,0.16246552066502437,0.8709392780434002,1
12 - 14,0.028800705936072153,0.9770235378591274,1
13 - 14,0.6454312048237792,0.5186477868786736,1
1 - 15,3.250048892939877,0.0011538516882954879,0.2192318207761427
10 - 15,3.120814956047244,0.0018035132301218644,0.34266751372315424
11 - 15,3.165862214049819,0.001546240174799395,0.29378563321188506
12 - 15,3.0321973993208666,0.0024278037996137624,0.46128272192661485
13 - 15,3.648827898208574,2.634395057444416e-4,0.0500535060914439
14 - 15,3.0033966933847944,0.002669841738324737,0.5072699302817
1 - 16,1.7154882022947815,0.08625575657209802,1
10 - 16,1.5862542654021483,0.11268164241256495,1
11 - 16,1.6313015234047235,0.10282671210532043,1
12 - 16,1.4976367086757711,0.13422766393199065,1
13 - 16,2.1142672075634783,0.03449245150384809,1
14 - 16,1.468836002739699,0.14187727628181707,1
15 - 16,-1.5345606906450955,0.12489177469107957,1
1 - 17,1.1313508075400802,0.2579074675785845,1
10 - 17,1.002116870647447,0.3162871507185687,1
11 - 17,1.047164128650022,0.29502388646965566,1
12 - 17,0.9134993139210699,0.3609799942615002,1
13 - 17,1.530129812808777,0.12598460012810123,1
14 - 17,0.8846986079849977,0.3763192066637502,1
15 - 17,-2.1186980853997968,0.03411599026230168,1
16 - 17,-0.5841373947547013,0.5591278776825916,1
1 - 18,2.38011987774261,0.017307006761820763,1
10 - 18,2.2508859408499764,0.024392762424348503,1
11 - 18,2.2959331988525515,0.021679701174142807,1
12 - 18,2.1622683841235992,0.030597495184610805,1
13 - 18,2.7788988830113066,0.005454350095480615,1
14 - 18,2.133467678187527,0.032886380369653564,1
15 - 18,-0.8699290151972674,0.3843391978092779,1
16 - 18,0.6646316754478282,0.5062861042965284,1
17 - 18,1.2487690702025296,0.21174954973555896,1
1 - 19,1.422311785458351,0.15493575904839052,1
10 - 19,1.2930778485657177,0.19598413560577174,1
11 - 19,1.3381251065682926,0.18085565772308093,1
12 - 19,1.2044602918393406,0.2284117207637639,1
13 - 19,1.8210907907270477,0.0685930569486318,1
14 - 19,1.1756595859032684,0.23973093437635465,1
15 - 19,-1.827737107481526,0.06758901617268136,1
16 - 19,-0.2931764168364306,0.7693873091315149,1
17 - 19,0.2909609779182707,0.7710811640349731,1
18 - 19,-0.9578080922842588,0.3381595378636335,1
1 - 2,0.5966915486242721,0.5507133361682551,1
10 - 2,0.4674576117316389,0.640172512226121,1
11 - 2,0.5125048697342139,0.6082977130110578,1
