.y.,group1,group2,n1,n2,statistic,p,p.adj,p.adj.signif,trait,site
value,100% Sargassum (SG),25% SG,20,20,1.759132837083795,0.07855494864597357,0.7855494864597357,ns,width,VB
value,100% Sargassum (SG),75% SG,20,20,1.0401113030495452,0.29828819292479,1,ns,width,VB
value,100% Sargassum (SG),Crushed glass,20,20,3.4112357511624922,6.466915075324061e-4,0.006466915075324061,**,width,VB
value,100% Sargassum (SG),Soil,20,20,2.5714625091224894,0.010126997952972151,0.10126997952972151,ns,width,VB
value,25% SG,75% SG,20,20,-0.7190215340342498,0.472127651683459,1,ns,width,VB
value,25% SG,Crushed glass,20,20,1.6521029140786974,0.09851357301928139,0.9851357301928139,ns,width,VB
value,25% SG,Soil,20,20,0.8123296720386947,0.41660248891300683,1,ns,width,VB
value,75% SG,Crushed glass,20,20,2.371124448112947,0.01773405880266642,0.1773405880266642,ns,width,VB
value,75% SG,Soil,20,20,1.5313512060729444,0.12568261644599604,1,ns,width,VB
value,Crushed glass,Soil,20,20,-0.8397732420400027,0.4010355390105054,1,ns,width,VB
value,100% Sargassum (SG),25% SG,20,20,-0.2014618584072558,0.8403374505470537,1,ns,width,MB
value,100% Sargassum (SG),75% SG,20,20,0.3560079415689859,0.7218346178050032,1,ns,width,MB
value,100% Sargassum (SG),Crushed glass,20,20,1.9815015662521844,0.04753505389711773,0.4753505389711773,ns,width,MB
value,100% Sargassum (SG),Soil,20,20,-1.584097352407735,0.11317156680459527,1,ns,width,MB
value,25% SG,75% SG,20,20,0.5574697999762417,0.5772064872306346,1,ns,width,MB
value,25% SG,Crushed glass,20,20,2.1829634246594405,0.029038503613369147,0.2903850361336915,ns,width,MB
value,25% SG,Soil,20,20,-1.3826354940004792,0.16677666003904398,1,ns,width,MB
value,75% SG,Crushed glass,20,20,1.6254936246831986,0.10405742117020528,1,ns,width,MB
value,75% SG,Soil,20,20,-1.940105293976721,0.05236689477523296,0.5236689477523295,ns,width,MB
value,Crushed glass,Soil,20,20,-3.5655989186599197,3.630262017393901e-4,0.003630262017393901,**,width,MB
value,100% Sargassum (SG),25% SG,20,20,0.1542747680640979,0.8773930912898208,1,ns,width,PR
value,100% Sargassum (SG),75% SG,20,20,1.4986691754798098,0.1339594771308285,1,ns,width,PR
value,100% Sargassum (SG),Crushed glass,20,20,0.8264719717719539,0.408536411102574,1,ns,width,PR
value,100% Sargassum (SG),Soil,20,20,2.3278960538243365,0.019917623849657156,0.19917623849657157,ns,width,PR
value,25% SG,75% SG,20,20,1.344394407415712,0.1788208813371569,1,ns,width,PR
value,25% SG,Crushed glass,20,20,0.672197203707856,0.5014581609406331,1,ns,width,PR
value,25% SG,Soil,20,20,2.173621285760239,0.029733588503750994,0.29733588503750996,ns,width,PR
value,75% SG,Crushed glass,20,20,-0.672197203707856,0.5014581609406331,1,ns,width,PR
value,75% SG,Soil,20,20,0.8292268783445269,0.40697603834069124,1,ns,width,PR
value,Crushed glass,Soil,20,20,1.5014240820523828,0.13324590900930838,1,ns,width,PR
value,100% Sargassum (SG),25% SG,20,20,3.0238109201115018,0.0024961239028563455,0.024961239028563453,*,prop_length,VB
value,100% Sargassum (SG),75% SG,20,20,1.5105396917991516,0.1309057693377115,1,ns,prop_length,VB
value,100% Sargassum (SG),Crushed glass,20,20,3.0320055296510993,0.0024293475354596507,0.024293475354596507,*,prop_length,VB
value,100% Sargassum (SG),Soil,20,20,3.154924672745063,0.0016053954870984028,0.016053954870984027,*,prop_length,VB
value,25% SG,75% SG,20,20,-1.51327122831235,0.1302107778884709,1,ns,prop_length,VB
value,25% SG,Crushed glass,20,20,0.008194609539597877,0.9934617207426423,1,ns,prop_length,VB
value,25% SG,Soil,20,20,0.13111375263356137,0.8956853220526907,1,ns,prop_length,VB
value,75% SG,Crushed glass,20,20,1.5214658378519479,0.1281429779224398,1,ns,prop_length,VB
value,75% SG,Soil,20,20,1.6443849809459112,0.10009670547636361,1,ns,prop_length,VB
value,Crushed glass,Soil,20,20,0.12291914309396348,0.9021711265838185,1,ns,prop_length,VB
value,100% Sargassum (SG),25% SG,20,20,-0.21431630249717373,0.8303004058274511,1,ns,prop_length,MB
value,100% Sargassum (SG),75% SG,20,20,0.4780902132629255,0.6325859974414267,1,ns,prop_length,MB
