trait,site,statistic,p_value
width,VB,14.001652364433077,0.007289783926652122
width,MB,13.084223175490196,0.01087151303908843
width,PR,7.499832570804728,0.11171667596253729
prop_length,VB,15.165194807543859,0.004370574524527443
prop_length,MB,10.316463515071662,0.03542129544223774
prop_length,PR,9.136026961389899,0.05778794225543131
rad_length,VB,8.556875148449826,0.07318187966126508
rad_length,MB,72.42236467143792,6.988062776632772e-15
rad_length,PR,13.858728280711277,0.007759857627011494
total_length,VB,8.043504171632886,0.08999751753942897
total_length,MB,44.533663859157926,4.970213174453912e-9
total_length,PR,6.144764911604817,0.18859484207718127
mass,VB,31.761377763364113,2.140398389753023e-6
mass,MB,34.295342855940966,6.481594075964114e-7
mass,PR,9.596963051967535,0.047792552905739
