site,treatment,trait,n,mean,sd,mean_sd
MB,100% Sargassum (SG),mass,20,0.6165,0.1174857214168688,0.62 ± 0.12
MB,100% Sargassum (SG),prop_length,20,1.687,0.14575032725430445,1.69 ± 0.15
MB,100% Sargassum (SG),rad_length,20,0.6234999999999999,0.3094013744738633,0.62 ± 0.31
MB,100% Sargassum (SG),total_length,20,2.3105,0.3817890710023561,2.31 ± 0.38
MB,100% Sargassum (SG),width,20,1.1315,0.09696852446460193,1.13 ± 0.10
MB,25% SG,mass,20,0.613,0.11521604420437834,0.61 ± 0.12
MB,25% SG,prop_length,20,1.685,0.1954078056944394,1.68 ± 0.20
MB,25% SG,rad_length,20,0.485,0.21095023109728986,0.48 ± 0.21
MB,25% SG,total_length,20,2.17,0.2939745782063118,2.17 ± 0.29
MB,25% SG,width,20,1.12,0.1105012502906165,1.12 ± 0.11
MB,75% SG,mass,20,0.538,0.07090393797986562,0.54 ± 0.07
MB,75% SG,prop_length,20,1.715,0.14244112357114616,1.72 ± 0.14
MB,75% SG,rad_length,20,0.405,0.8611345026062696,0.40 ± 0.86
MB,75% SG,total_length,20,2.12,0.8900620912699233,2.12 ± 0.89
MB,75% SG,width,20,1.155,0.13945382182304158,1.16 ± 0.14
MB,Crushed glass,mass,20,0.4355,0.07923814870708626,0.44 ± 0.08
MB,Crushed glass,prop_length,20,1.83,0.14903196407411892,1.83 ± 0.15
MB,Crushed glass,rad_length,20,0,0,0.00 ± 0.00
MB,Crushed glass,total_length,20,1.83,0.14903196407411892,1.83 ± 0.15
MB,Crushed glass,width,20,1.21,0.11652874052533582,1.21 ± 0.12
MB,Soil,mass,20,0.5205,0.10898937659481457,0.52 ± 0.11
MB,Soil,prop_length,20,1.716,0.14957483604853913,1.72 ± 0.15
MB,Soil,rad_length,20,0.025,0.06386663736585052,0.02 ± 0.06
MB,Soil,total_length,20,1.7409999999999999,0.16929886373853156,1.74 ± 0.17
MB,Soil,width,20,1.0765,0.10688286751589823,1.08 ± 0.11
PR,100% Sargassum (SG),mass,20,0.7,0.1243509464971491,0.70 ± 0.12
PR,100% Sargassum (SG),prop_length,20,1.8855,0.20116699007227012,1.89 ± 0.20
PR,100% Sargassum (SG),rad_length,20,0.4425,0.24012880315627103,0.44 ± 0.24
PR,100% Sargassum (SG),total_length,20,2.328,0.3222388783757201,2.33 ± 0.32
PR,100% Sargassum (SG),width,20,1.171,0.09193246949456117,1.17 ± 0.09
PR,25% SG,mass,20,0.6435,0.07720614919605957,0.64 ± 0.08
PR,25% SG,prop_length,20,1.895,0.20641042405337656,1.90 ± 0.21
PR,25% SG,rad_length,20,0.685,0.781547048790848,0.68 ± 0.78
PR,25% SG,total_length,20,2.58,0.7466416035893836,2.58 ± 0.75
PR,25% SG,width,20,1.175,0.10195458225163427,1.18 ± 0.10
PR,75% SG,mass,20,0.688,0.15164362655147828,0.69 ± 0.15
PR,75% SG,prop_length,20,1.9825,0.2916716791549235,1.98 ± 0.29
