treatment,species,prop_id,leaves,stem,fine_roots,coarse_roots,hypocotyl,above_ground,below_ground,total_biomass,root_shoot_ratio
Soil,LARA,LA-40,1.133,0.701,0.595,0.57,0,1.834,1.165,2.999,0.63522355507088335
Soil,LARA,LA-50,0.123,0,0.027,0,0,0.123,0.027,0.15,0.21951219512195122
Soil,LARA,LA-49,0.654,0.254,0.224,0.407,0,0.908,0.631,1.5390000000000001,0.6949339207048458
Soil,LARA,LA-25,0.358,0.146,0.148,0.02,0,0.504,0.16799999999999998,0.6719999999999999,0.3333333333333333
Soil,LARA,LA-53,0.323,0.047,0.133,0.034,0,0.37,0.167,0.537,0.4513513513513514
Soil,LARA,LA-46,1.087,0.565,0.525,0.591,0,1.652,1.116,2.768,0.675544794188862
Soil,LARA,LA-43,0.793,0.334,0.278,0.256,0,1.127,0.534,1.661,0.47382431233362915
Soil,LARA,LA-34,0.971,0.542,0.767,0.543,0,1.513,1.31,2.823,0.8658294778585592
Soil,LARA,LA-35,0.412,0.224,0.072,0.278,0,0.636,0.35000000000000003,0.986,0.550314465408805
Soil,LARA,LA-18,0.739,0.511,0.474,0.429,0,1.25,0.903,2.153,0.7224
Soil,RHMA,RA-22,3.332,2.226,1.54,2.196,11.074,16.631999999999998,3.736,20.368,0.22462722462722468
Soil,RHMA,RA-20,3.751,2.16,1.814,1.866,13.119,19.03,3.68,22.71,0.19337887545980031
Soil,RHMA,RA-54,3.562,1.957,1.524,2.731,12.894,18.413,4.255,22.668,0.23108673220007603
Soil,RHMA,RA-55,2.428,1.9,1.603,1.687,11.049,15.376999999999999,3.29,18.666999999999998,0.2139559081745464
Soil,RHMA,RA-12,2.685,1.362,1.126,2.528,8.504,12.551,3.654,16.205,0.29113218070273283
Soil,RHMA,RA-25,2.137,1.492,1.669,1.139,10.203,13.831999999999999,2.808,16.64,0.2030075187969925
Soil,RHMA,RA-17,3.675,1.93,1.94,2.008,13.607,19.212,3.948,23.16,0.20549656464709556
