.y.,group1,group2,n1,n2,statistic,p,p.adj,p.adj.signif,trait,site
value,100% Sargassum (SG),25% SG,20,20,0.4691444883805349,0.6389663612230311,1,ns,diameter,OC
value,100% Sargassum (SG),75% SG,20,20,-1.497443744889034,0.13427783295785845,1,ns,diameter,OC
value,100% Sargassum (SG),Crushed glass,20,20,1.5983643615755443,0.1099619112067432,1,ns,diameter,OC
value,100% Sargassum (SG),Soil,20,20,1.4756230710108693,0.14004510810747303,1,ns,diameter,OC
value,25% SG,75% SG,20,20,-1.966588233269569,0.04923070110698303,0.49230701106983027,ns,diameter,OC
value,25% SG,Crushed glass,20,20,1.1292198731950094,0.25880509227365284,1,ns,diameter,OC
value,25% SG,Soil,20,20,1.0064785826303344,0.3141854091293333,1,ns,diameter,OC
value,75% SG,Crushed glass,20,20,3.0958081064645784,0.001962773387943988,0.019627733879439876,*,diameter,OC
value,75% SG,Soil,20,20,2.9730668158999034,0.0029484026080666523,0.029484026080666522,*,diameter,OC
value,Crushed glass,Soil,20,20,-0.12274129056467492,0.9023119659134852,1,ns,diameter,OC
value,100% Sargassum (SG),25% SG,20,20,1.657917768159447,0.09733406528760756,0.9733406528760756,ns,diameter,CP
value,100% Sargassum (SG),75% SG,20,20,-1.1234574350027835,0.2612432685194364,1,ns,diameter,CP
value,100% Sargassum (SG),Crushed glass,20,20,-1.2979750948090412,0.1942958932495589,1,ns,diameter,CP
value,100% Sargassum (SG),Soil,20,20,0.9952960285825626,0.3195923087573478,1,ns,diameter,CP
value,25% SG,75% SG,20,20,-2.7813752031622303,0.005412913754193914,0.05412913754193914,ns,diameter,CP
value,25% SG,Crushed glass,20,20,-2.955892862968488,0.003117653663315657,0.03117653663315657,*,diameter,CP
value,25% SG,Soil,20,20,-0.6626217395768844,0.5075728433678288,1,ns,diameter,CP
value,75% SG,Crushed glass,20,20,-0.17451765980625772,0.8614586532059147,1,ns,diameter,CP
value,75% SG,Soil,20,20,2.118753463585346,0.03411130746826763,0.3411130746826763,ns,diameter,CP
value,Crushed glass,Soil,20,20,2.293271123391604,0.02183240063994545,0.21832400639945448,ns,diameter,CP
value,100% Sargassum (SG),25% SG,20,20,4.76332149569792,1.9043207206484057e-6,1.9043207206484057e-5,****,diameter,PR
value,100% Sargassum (SG),75% SG,20,20,1.863315338809668,0.062417913331261114,0.6241791333126111,ns,diameter,PR
value,100% Sargassum (SG),Crushed glass,20,20,3.8548529630132666,1.1579920511878908e-4,0.0011579920511878908,**,diameter,PR
value,100% Sargassum (SG),Soil,20,20,5.02795046768114,4.957498823641052e-7,4.957498823641052e-6,****,diameter,PR
value,25% SG,75% SG,20,20,-2.900006156888253,0.003731553303268581,0.03731553303268581,*,diameter,PR
value,25% SG,Crushed glass,20,20,-0.9084685326846546,0.36363073175616734,1,ns,diameter,PR
value,25% SG,Soil,20,20,0.2646289719832191,0.7912952991420138,1,ns,diameter,PR
value,75% SG,Crushed glass,20,20,1.9915376242035983,0.04642181313868566,0.4642181313868566,ns,diameter,PR
value,75% SG,Soil,20,20,3.164635128871472,0.0015527753979886554,0.015527753979886554,*,diameter,PR
value,Crushed glass,Soil,20,20,1.1730975046678738,0.24075670707202546,1,ns,diameter,PR
value,100% Sargassum (SG),25% SG,20,20,0.4121794261712272,0.6802079157802663,1,ns,epi_length,OC
value,100% Sargassum (SG),75% SG,20,20,-1.275008358289663,0.20230628360283467,1,ns,epi_length,OC
value,100% Sargassum (SG),Crushed glass,20,20,0.7941323610898972,0.4271183800193949,1,ns,epi_length,OC
value,100% Sargassum (SG),Soil,20,20,2.4318586144102405,0.0150215697164241,0.15021569716424102,ns,epi_length,OC
value,25% SG,75% SG,20,20,-1.6871877844608902,0.0915672495135089,0.9156724951350891,ns,epi_length,OC
value,25% SG,Crushed glass,20,20,0.38195293491866994,0.7024962751115857,1,ns,epi_length,OC
value,25% SG,Soil,20,20,2.0196791882390133,0.04341667521015947,0.43416675210159467,ns,epi_length,OC
value,75% SG,Crushed glass,20,20,2.0691407193795603,0.03853288361802053,0.3853288361802053,ns,epi_length,OC
value,75% SG,Soil,20,20,3.7068669726999035,2.0983909257179774e-4,0.0020983909257179774,**,epi_length,OC
value,Crushed glass,Soil,20,20,1.6377262533203434,0.10147881147936592,1,ns,epi_length,OC
value,100% Sargassum (SG),25% SG,20,20,1.4686064399961825,0.14193956709918848,1,ns,epi_length,CP
value,100% Sargassum (SG),75% SG,20,20,2.097224897489875,0.03597367149498821,0.3597367149498821,ns,epi_length,CP
value,100% Sargassum (SG),Crushed glass,20,20,2.473297948479552,0.013387248043003175,0.13387248043003175,ns,epi_length,CP
value,100% Sargassum (SG),Soil,20,20,3.2528946381223856,0.0011423584625574765,0.011423584625574764,*,epi_length,CP
value,25% SG,75% SG,20,20,0.6286184574936924,0.5295988736465876,1,ns,epi_length,CP
value,25% SG,Crushed glass,20,20,1.0046915084833696,0.31504541826636495,1,ns,epi_length,CP
value,25% SG,Soil,20,20,1.784288198126203,0.07437684697169505,0.7437684697169505,ns,epi_length,CP
value,75% SG,Crushed glass,20,20,0.3760730509896771,0.7068625883962253,1,ns,epi_length,CP
value,75% SG,Soil,20,20,1.1556697406325105,0.2478162697659735,1,ns,epi_length,CP
value,Crushed glass,Soil,20,20,0.7795966896428335,0.43562830504202277,1,ns,epi_length,CP
value,100% Sargassum (SG),25% SG,20,20,5.650419804268742,1.600564655542149e-8,1.600564655542149e-7,****,epi_length,PR
value,100% Sargassum (SG),75% SG,20,20,3.4541046538515685,5.521230741810874e-4,0.005521230741810874,**,epi_length,PR
value,100% Sargassum (SG),Crushed glass,20,20,4.766939649777623,1.8704530689809604e-6,1.8704530689809604e-5,****,epi_length,PR
value,100% Sargassum (SG),Soil,20,20,4.018320951891068,5.86143233764551e-5,5.86143233764551e-4,***,epi_length,PR
value,25% SG,75% SG,20,20,-2.196315150417173,0.02806939407032572,0.2806939407032572,ns,epi_length,PR
value,25% SG,Crushed glass,20,20,-0.8834801544911189,0.37697690036444087,1,ns,epi_length,PR
value,25% SG,Soil,20,20,-1.6320988523776738,0.10265866349285012,1,ns,epi_length,PR
value,75% SG,Crushed glass,20,20,1.3128349959260541,0.18923855481419177,1,ns,epi_length,PR
value,75% SG,Soil,20,20,0.5642162980394992,0.5726069373373719,1,ns,epi_length,PR
value,Crushed glass,Soil,20,20,-0.7486186978865548,0.4540870591074296,1,ns,epi_length,PR
value,100% Sargassum (SG),25% SG,20,20,3.311298630829249,9.286404885342721e-4,0.00928640488534272,**,hypo_length,OC
value,100% Sargassum (SG),75% SG,20,20,0.008176046002047839,0.9934765318064711,1,ns,hypo_length,OC
value,100% Sargassum (SG),Crushed glass,20,20,2.319271715914149,0.02038030803691066,0.20380308036910658,ns,hypo_length,OC
value,100% Sargassum (SG),Soil,20,20,2.8098344760370004,0.004956698503275391,0.049566985032753905,*,hypo_length,OC
value,25% SG,75% SG,20,20,-3.3031225848272014,9.561458036593736e-4,0.009561458036593735,**,hypo_length,OC
value,25% SG,Crushed glass,20,20,-0.9920269149151003,0.3211843961486854,1,ns,hypo_length,OC
value,25% SG,Soil,20,20,-0.5014641547922486,0.6160444988272105,1,ns,hypo_length,OC
value,75% SG,Crushed glass,20,20,2.311095669912101,0.0208275711156051,0.208275711156051,ns,hypo_length,OC
