trait,site,statistic,p_value
diameter,OC,12.71539675478099,0.01275347858975469
diameter,CP,13.350913908717255,0.009682558307656719
diameter,PR,36.38561105430922,2.4104793315562465e-7
epi_length,OC,14.446427503645769,0.0059984591456855715
epi_length,CP,11.970683387526982,0.017570607805159236
epi_length,PR,37.439635848340515,1.462141062813562e-7
hypo_length,OC,19.926505611908112,5.16361333100156e-4
hypo_length,CP,18.060287223506087,0.0012010625067386414
hypo_length,PR,34.67290456356823,5.422377518013505e-7
total_height,OC,20.14956452058247,4.665657497157749e-4
total_height,CP,17.451808801815083,0.0015787663655575672
total_height,PR,36.09982684424389,2.760038932556369e-7
mass,OC,13.993148132590827,0.007316956193471088
mass,CP,15.981696750035992,0.0030438224691762264
mass,PR,28.521408769329547,9.777534508116375e-6
