.y.,group1,group2,n1,n2,statistic,p,p.adj,p.adj.signif,trait,site,comparison
value,25% SG,Crushed glass,20,20,-2.955892862968488,0.003117653663315657,0.03117653663315657,*,diameter,CP,25% SG vs Crushed glass
value,75% SG,Crushed glass,20,20,3.0958081064645784,0.001962773387943988,0.019627733879439876,*,diameter,OC,75% SG vs Crushed glass
value,75% SG,Soil,20,20,2.9730668158999034,0.0029484026080666523,0.029484026080666522,*,diameter,OC,75% SG vs Soil
value,100% Sargassum (SG),Soil,20,20,5.02795046768114,4.957498823641052e-7,4.957498823641052e-6,****,diameter,PR,100% Sargassum (SG) vs Soil
value,100% Sargassum (SG),25% SG,20,20,4.76332149569792,1.9043207206484057e-6,1.9043207206484057e-5,****,diameter,PR,100% Sargassum (SG) vs 25% SG
value,100% Sargassum (SG),Crushed glass,20,20,3.8548529630132666,1.1579920511878908e-4,0.0011579920511878908,**,diameter,PR,100% Sargassum (SG) vs Crushed glass
value,75% SG,Soil,20,20,3.164635128871472,0.0015527753979886554,0.015527753979886554,*,diameter,PR,75% SG vs Soil
value,25% SG,75% SG,20,20,-2.900006156888253,0.003731553303268581,0.03731553303268581,*,diameter,PR,25% SG vs 75% SG
value,100% Sargassum (SG),Soil,20,20,3.2528946381223856,0.0011423584625574765,0.011423584625574764,*,epi_length,CP,100% Sargassum (SG) vs Soil
value,75% SG,Soil,20,20,3.7068669726999035,2.0983909257179774e-4,0.0020983909257179774,**,epi_length,OC,75% SG vs Soil
value,100% Sargassum (SG),25% SG,20,20,5.650419804268742,1.600564655542149e-8,1.600564655542149e-7,****,epi_length,PR,100% Sargassum (SG) vs 25% SG
value,100% Sargassum (SG),Crushed glass,20,20,4.766939649777623,1.8704530689809604e-6,1.8704530689809604e-5,****,epi_length,PR,100% Sargassum (SG) vs Crushed glass
value,100% Sargassum (SG),Soil,20,20,4.018320951891068,5.86143233764551e-5,5.86143233764551e-4,***,epi_length,PR,100% Sargassum (SG) vs Soil
value,100% Sargassum (SG),75% SG,20,20,3.4541046538515685,5.521230741810874e-4,0.005521230741810874,**,epi_length,PR,100% Sargassum (SG) vs 75% SG
value,100% Sargassum (SG),25% SG,20,20,3.5921712498910843,3.2793422331850886e-4,0.0032793422331850886,**,hypo_length,CP,100% Sargassum (SG) vs 25% SG
value,25% SG,75% SG,20,20,-3.4477212679151905,5.653371284852658e-4,0.005653371284852658,**,hypo_length,CP,25% SG vs 75% SG
value,100% Sargassum (SG),25% SG,20,20,3.311298630829249,9.286404885342721e-4,0.00928640488534272,**,hypo_length,OC,100% Sargassum (SG) vs 25% SG
value,25% SG,75% SG,20,20,-3.3031225848272014,9.561458036593736e-4,0.009561458036593735,**,hypo_length,OC,25% SG vs 75% SG
value,100% Sargassum (SG),Soil,20,20,2.8098344760370004,0.004956698503275391,0.049566985032753905,*,hypo_length,OC,100% Sargassum (SG) vs Soil
value,100% Sargassum (SG),25% SG,20,20,5.485896386202077,4.113779826701977e-8,4.113779826701977e-7,****,hypo_length,PR,100% Sargassum (SG) vs 25% SG
value,100% Sargassum (SG),Crushed glass,20,20,4.390352249464255,1.1316718819928386e-5,1.1316718819928386e-4,***,hypo_length,PR,100% Sargassum (SG) vs Crushed glass
value,100% Sargassum (SG),75% SG,20,20,4.055148446432534,5.01024738889899e-5,5.01024738889899e-4,***,hypo_length,PR,100% Sargassum (SG) vs 75% SG
value,100% Sargassum (SG),Soil,20,20,3.714494175058833,2.036105595716011e-4,0.002036105595716011,**,hypo_length,PR,100% Sargassum (SG) vs Soil
value,25% SG,75% SG,20,20,-3.684251274714441,2.293758813509268e-4,0.0022937588135092677,**,mass,CP,25% SG vs 75% SG
value,100% Sargassum (SG),25% SG,20,20,2.8122391386873544,0.0049197911337712655,0.04919791133771265,*,mass,OC,100% Sargassum (SG) vs 25% SG
value,100% Sargassum (SG),25% SG,20,20,4.793327328652744,1.6403765075214907e-6,1.6403765075214908e-5,****,mass,PR,100% Sargassum (SG) vs 25% SG
value,100% Sargassum (SG),Soil,20,20,4.281021735823456,1.860371841389256e-5,1.8603718413892558e-4,***,mass,PR,100% Sargassum (SG) vs Soil
value,100% Sargassum (SG),Crushed glass,20,20,3.7387408157541575,1.8494427948544023e-4,0.0018494427948544023,**,mass,PR,100% Sargassum (SG) vs Crushed glass
value,100% Sargassum (SG),75% SG,20,20,3.373586829375836,7.419564204682517e-4,0.007419564204682517,**,mass,PR,100% Sargassum (SG) vs 75% SG
value,100% Sargassum (SG),25% SG,20,20,3.5648416432185592,3.6407593715549427e-4,0.0036407593715549426,**,total_height,CP,100% Sargassum (SG) vs 25% SG
value,25% SG,75% SG,20,20,-3.2895748190862393,0.0010033887630946806,0.010033887630946805,*,total_height,CP,25% SG vs 75% SG
value,25% SG,75% SG,20,20,-3.3005160972916796,9.650717717558782e-4,0.009650717717558783,**,total_height,OC,25% SG vs 75% SG
value,100% Sargassum (SG),25% SG,20,20,3.2950652036545334,9.83988452849279e-4,0.00983988452849279,**,total_height,OC,100% Sargassum (SG) vs 25% SG
value,75% SG,Soil,20,20,2.8753463935943198,0.0040358446506058125,0.040358446506058125,*,total_height,OC,75% SG vs Soil
value,100% Sargassum (SG),Soil,20,20,2.8698954999571735,0.004106074745244258,0.04106074745244258,*,total_height,OC,100% Sargassum (SG) vs Soil
value,100% Sargassum (SG),25% SG,20,20,5.630519655059442,1.7966746385613307e-8,1.7966746385613307e-7,****,total_height,PR,100% Sargassum (SG) vs 25% SG
value,100% Sargassum (SG),Crushed glass,20,20,4.469531575168192,7.839108665401312e-6,7.839108665401312e-5,****,total_height,PR,100% Sargassum (SG) vs Crushed glass
value,100% Sargassum (SG),75% SG,20,20,3.992599852208172,6.53527988287613e-5,6.53527988287613e-4,***,total_height,PR,100% Sargassum (SG) vs 75% SG
value,100% Sargassum (SG),Soil,20,20,3.839981700860965,1.2304348142832988e-4,0.0012304348142832989,**,total_height,PR,100% Sargassum (SG) vs Soil
