site,treatment,trait,n,mean,sd,mean_sd
CP,100% Sargassum (SG),diameter,20,11.865,1.2934144937457517,11.87 ± 1.29
CP,100% Sargassum (SG),epi_length,20,1.52,0.2948683916954353,1.52 ± 0.29
CP,100% Sargassum (SG),hypo_length,20,25.825,6.359234892740842,25.82 ± 6.36
CP,100% Sargassum (SG),mass,20,19.64,4.957647999224081,19.64 ± 4.96
CP,100% Sargassum (SG),total_height,20,27.345,6.434076631907888,27.34 ± 6.43
CP,25% SG,diameter,20,12.375,1.0522532214753553,12.38 ± 1.05
CP,25% SG,epi_length,20,1.635,0.2906888370749727,1.64 ± 0.29
CP,25% SG,hypo_length,20,31.33,3.6459205753972843,31.33 ± 3.65
CP,25% SG,mass,20,24.13,4.746236181937941,24.13 ± 4.75
CP,25% SG,total_height,20,32.965,3.7454920272663497,32.97 ± 3.75
CP,75% SG,diameter,20,11.465,0.8585636720403261,11.46 ± 0.86
CP,75% SG,epi_length,20,1.705,0.2372540277512914,1.71 ± 0.24
CP,75% SG,hypo_length,20,27.095,2.659733860845163,27.09 ± 2.66
CP,75% SG,mass,20,18.2995,3.74781546897305,18.30 ± 3.75
CP,75% SG,total_height,20,28.8,2.659441967584058,28.80 ± 2.66
CP,Crushed glass,diameter,20,11.23,1.2888591446456987,11.23 ± 1.29
CP,Crushed glass,epi_length,20,1.715,0.28704483420208987,1.72 ± 0.29
CP,Crushed glass,hypo_length,20,30.115000000000002,4.690671032682009,30.12 ± 4.69
CP,Crushed glass,mass,20,22.2915,6.1312532203972445,22.29 ± 6.13
CP,Crushed glass,total_height,20,31.83,4.797598083251769,31.83 ± 4.80
CP,Soil,diameter,20,12.370000000000001,1.2380374962436573,12.37 ± 1.24
CP,Soil,epi_length,20,1.79,0.20493901531919198,1.79 ± 0.20
CP,Soil,hypo_length,20,29.135,3.6051534750891494,29.14 ± 3.61
CP,Soil,mass,20,22.589,6.428763407325581,22.59 ± 6.43
CP,Soil,total_height,20,30.925,3.7443114748979727,30.93 ± 3.74
OC,100% Sargassum (SG),diameter,20,12.415000000000001,0.9538150543447805,12.42 ± 0.95
OC,100% Sargassum (SG),epi_length,20,1.64,0.24365635853109102,1.64 ± 0.24
OC,100% Sargassum (SG),hypo_length,20,31.9,3.3422337314720334,31.90 ± 3.34
